ID,Name,Pronoun,Birthday,Weight,ZipCode,SqFt,Pets,Water,Shoes,Commute,NumKids,Exercise,Beverage
100225,Kimberly Bernard - physician,she,1941-09-27,152.49,03977,1936,fish,143.83,14,23.86,2,None,Cider
100226,Rita Schultz - receptionist,she,1987-10-10,179.12,00221,1845,"cat,cat,cat",119.53,7,,3,None,Coffee
100227,Melvin Duke - teacher,he,1969-10-28,190.49,00445,1922,,100.01,5,3.54,1,None,Tea
100228,Patrick Norman - vice president,he,1946-08-18,163.02,03977,2022,fish,110.41,9,25.11,3,Low,Cider
100229,Nancy Kramarczyk - teacher,she,1947-03-25,149.13,03977,2426,"hamster,hamster",31.84,0,20.18,5,High,Cocoa
100230,Patricia Smith - physician,she,1932-12-02,160.45,00849,2836,"fish,hamster,hamster,dog,bird,dog",85.29,3,39.76,1,High,Tea
100231,Thelma Renn - sales associate,she,1996-04-16,175.94,06861,2604,,52.38,12,21.9,None,Low,Tea
100232,Jose Scott - sales associate,he,1949-04-10,182.74,00849,3497,"bird,hamster",-25.87,5,4.1,2,High,Coffee
100233,Brandy Williams - vice president,she,1936-01-07,147.39,00221,1291,hamster,105.39,15,17.18,2,Low,Cider
100234,Gloria Pond - vice president,she,1959-03-07,161.03,03977,1413,"hamster,dog,dog,dog",64.76,9,10.98,1,Low,Tea
100235,Adrian Mills - scientist,he,1962-04-19,231.64,00221,2108,"dog,bird,fish,bird,dog,cat",109.73,8,27.79,2,High,Tea
100236,Jennifer Johnson - assistant manager,they,2002-09-01,182.84,00221,1726,"cat,fish,dog,cat,fish,hamster",47.89,2,19.8,3,High,Coffee
100237,Virginia Calhoun - assistant manager,she,1952-06-27,190.84,06861,2039,,140.23,4,1.84,2,None,Coffee
100238,Marita Singletary - sales associate,she,1951-03-24,156.73,08161,1638,"dog,cat,dog",127.88,2,46.32,5,None,Cider
100239,Otis Strickland - assistant manager,he,1942-04-05,150.79,06861,2559,,109.91,5,15.13,6,None,Cocoa
100240,Gustavo Delker - teacher,he,1996-05-16,135.17,00221,1884,"cat,fish,cat,dog,fish,cat",77.79,3,33.7,5,None,Coffee
100241,Cedric Skeen - physician,they,1991-06-17,167.99,06861,1932,,94.22,15,15.6,1,Low,Cocoa
100242,Jennifer Hamill - teacher,she,1948-01-07,143.66,00849,3224,"dog,cat",34.24,10,63.83,3,Low,Cider
100243,Jeffery Brown - vice president,they,1969-11-20,191.1,06393,2113,"bird,cat,dog",87.0,15,2.49,None,High,Coffee
100244,Kristen Mcquiston - physician,she,1988-10-28,177.76,03977,1643,"hamster,dog,fish,cat,hamster,dog",92.86,7,21.48,3,None,Coffee
100245,Charles Ly - assistant manager,he,1942-02-17,186.25,04532,1698,"bird,dog,fish,fish,bird,dog",147.25,5,21.39,2,High,Tea
100246,Patricia Walker - sales associate,she,1971-11-25,209.14,00445,1997,"cat,cat",85.35,4,24.96,None,Low,Cocoa
100247,Ruby Lamb - sales associate,she,1926-10-11,165.13,04532,1822,dog,91.28,14,31.01,None,None,Cider
100248,Jason Whited - sales associate,he,1950-11-23,203.01,08161,947,"cat,bird",149.85,11,18.66,2,Medium,Coffee
100249,Jean Albert - teacher,she,1981-08-19,194.61,00221,2330,,57.92,5,77.75,1,None,Cider
100250,Michelle Xia - sales associate,they,1986-10-28,197.01,07770,2469,fish,128.52,15,7.08,3,High,Tea
100251,Jack Hayes - physician,he,1925-12-06,228.07,06861,2294,"fish,cat,cat,fish",120.82,6,13.94,3,None,Tea
100252,Clifton Hernandez - engineer,he,1959-12-15,222.27,08161,1691,"dog,dog,fish,bird,cat,cat",163.91,8,12.24,1,None,Coffee
100253,Janet Martinie - assistant manager,she,1939-06-21,178.15,06393,2118,,73.76,5,36.06,1,None,Cider
100254,Carole Bernal - physician,she,1988-04-16,161.26,00221,2274,,99.64,2,34.93,2,None,Cocoa
100255,Tyra Hottel - vice president,she,1950-02-27,188.01,03977,1691,"hamster,hamster,dog,bird",83.29,13,20.56,1,High,Tea
100256,Horacio Behrmann - vice president,he,1990-11-09,206.3,00221,1989,cat,64.23,4,,3,Low,Cider
100257,Bettie Clark - teacher,she,1997-10-12,181.69,03977,1627,"cat,fish,lizard,dog,dog",111.04,16,5.99,2,Medium,Coffee
100258,Debbie Sieber - teacher,she,1988-06-06,159.54,00221,2412,,68.59,14,21.27,None,High,Cocoa
100259,Marion Muth - physician,she,1981-04-15,172.76,00221,1934,"fish,fish,dog,fish,dog,cat",60.24,2,4.37,2,Medium,Coffee
100260,Nicole Jessie - assistant manager,she,1960-10-27,179.39,02585,4245,"dog,fish,cat,dog,dog,cat",96.87,8,17.28,3,None,Coffee
100261,Tom Mcneill - teacher,he,1965-03-25,173.83,00221,1536,"bird,bird,fish",56.3,7,60.91,3,None,Cider
100262,Teresa Walker - sales associate,they,1992-10-12,147.39,06861,2361,"fish,dog,dog,cat,dog,bird",39.0,6,16.32,1,None,Coffee
100263,Edward Marsaw - software engineer,he,1969-07-28,173.28,06861,2008,"bird,fish,lizard,hamster,hamster,bird",58.26,7,15.54,4,Low,Coffee
100264,Adelaide Adams - trucker,she,1966-06-10,153.11,00221,2016,"dog,cat,hamster,hamster,dog,lizard",3.65,4,49.6,4,Low,Tea
100265,Donna Jones - assistant manager,she,1929-01-10,150.4,03977,1859,,80.01,8,50.49,3,Low,Cider
100266,Christy Agnew - vice president,she,1931-09-10,166.54,00221,2135,"dog,cat,cat,cat,bird,dog",134.22,3,40.66,3,Low,Coffee
100267,Jeremy Brewer - teacher,he,1963-04-14,367.56,00445,2205,"fish,hamster",0.48,9,27.17,None,Medium,Cocoa
100268,Micheal Kendell - teacher,he,1933-12-21,165.36,00849,3638,"cat,hamster,dog,dog,hamster,fish",85.89,7,9.38,2,High,Coffee
100269,Steven Walker - physician,they,2000-07-20,172.67,00221,2067,hamster,90.98,2,55.38,2,None,Cider
100270,Robert Bowling - assistant manager,they,1999-10-22,148.31,08161,1977,,41.77,6,64.72,2,High,Cider
100271,Eddie Cole - vice president,he,2003-02-12,137.27,00221,2071,"dog,dog,dog,bird,bird,dog",70.8,9,41.88,2,None,Coffee
100272,Keith Jackson - physician,he,1997-08-02,197.93,06393,2154,,59.56,3,29.18,None,Medium,Cocoa
100273,Rene Wood - sales associate,they,1999-04-25,182.7,03977,1166,"fish,dog,dog,bird,hamster,bird",114.99,10,57.59,None,None,Coffee
100274,Joseph Carlisle - scientist,he,1927-05-09,187.87,03977,2271,"dog,hamster,cat,cat,cat,bird",147.87,6,26.67,3,Medium,Tea
100275,William Hilton - trucker,he,1986-11-25,208.55,00849,2543,,107.42,5,29.49,3,High,Cocoa
100276,Kelly Bailey - vice president,she,1950-01-11,162.93,03977,1808,,14.47,1,15.81,1,None,Cider
100277,Lillian Dilworth - trucker,they,1987-10-24,372.7,03977,1850,cat,54.62,8,97.68,3,None,Cider
100278,Audrey Walker - vice president,she,1946-01-27,130.3,08161,3299,,109.02,8,34.41,2,Low,Cider
100279,Betty Mcjunkins - scientist,she,1928-11-25,176.12,03977,1600,"hamster,dog",168.72,7,4.52,3,Medium,Tea
100280,Cheryl Poncedeleon - sales associate,she,1936-06-08,193.47,00221,2243,,58.95,7,9.68,1,Medium,Cocoa
100281,Eva Schoberg - sales associate,she,1938-02-12,169.13,03977,1448,"cat,dog,cat,dog,fish,dog",30.5,8,3.7,5,None,Tea
100282,Raymond Brady - assistant manager,he,1926-05-05,211.57,00221,2057,,91.74,8,34.69,2,High,Cider
100283,Alfredo Vetter - teacher,he,1960-02-19,219.89,00221,2251,"cat,dog,dog",122.61,5,46.44,3,Low,Cocoa
100284,Darlene Wozniak - physician,she,1940-09-23,173.73,08161,2542,"fish,hamster,cat,hamster,dog,hamster",115.03,0,8.72,4,Low,Coffee
100285,Sharon Elkins - physician,she,1977-11-04,162.5,07770,1025,"bird,hamster,cat,dog,cat",119.4,12,3.03,3,None,Coffee
100286,Floyd Stark - sales associate,they,1946-01-09,144.4,00445,2353,dog,112.39,8,4.2,1,High,Cocoa
100287,Lester Purcell - engineer,he,1957-01-20,155.58,00445,1951,"fish,hamster,dog,dog,bird,dog",48.31,8,25.0,2,High,Tea
100288,Karey Nelson - teacher,she,1993-08-04,163.96,00221,2196,cat,120.09,5,44.67,4,None,Cider
100289,Edwin Wilder - assistant manager,he,1926-06-06,180.77,02585,3070,hamster,55.73,6,26.88,3,None,Cider
100290,Pamela Denson - teacher,she,1980-06-18,146.43,07770,766,"fish,dog,bird",68.57,8,50.23,3,Low,Coffee
100291,Jerome Hill - vice president,they,1994-06-03,161.98,00221,2044,"hamster,fish",87.53,5,34.33,1,High,Cocoa
100292,Roman Wilson - sales associate,he,1972-11-06,201.36,06861,2271,"dog,hamster,dog",82.91,2,5.35,1,Medium,Coffee
100293,Alma James - vice president,she,1994-02-20,188.33,00221,1594,"fish,bird,fish,dog,hamster,cat",108.67,11,13.17,2,Low,Coffee
100294,Joann Lambert - sales associate,she,1950-08-16,136.42,00221,1948,"dog,cat,lizard,cat",84.39,14,18.95,3,High,Tea
100295,Marjorie Steele - physician,they,1930-06-02,190.37,00849,2617,lizard,58.83,9,9.15,5,Low,Cocoa
100296,James Jochim - vice president,he,1967-01-09,186.58,00221,1971,,65.26,4,21.46,None,Medium,Cider
100297,Ollie Mallette - scientist,he,1971-08-22,166.86,06861,1962,"bird,lizard,bird,cat,dog,lizard",57.55,7,66.39,1,High,Coffee
100298,William Thrift - sales associate,he,1997-09-25,209.89,02585,4674,"cat,dog",69.78,10,24.08,2,None,Coffee
100299,Victor Rathke - general manager,he,1978-09-27,188.41,04532,1777,"hamster,fish",76.03,5,19.3,1,None,Tea
100300,Gina Apodaca - assistant manager,they,2000-08-20,147.18,00221,1824,dog,105.55,8,24.2,1,Medium,Cocoa
100301,Elizabeth Magee - assistant manager,they,1958-06-01,193.59,08161,2468,"cat,fish",87.01,9,0.49,2,None,Coffee
100302,Ria Davis - teacher,she,1983-11-13,166.1,00221,1000,,85.0,13,15.82,2,High,Coffee
100303,Russell Jones - scientist,he,1995-09-12,157.85,00221,1601,"bird,cat",81.97,6,41.83,3,High,Cocoa
100304,Maria Thomas - trucker,she,1942-11-10,175.42,00221,2294,"dog,cat,bird,cat,bird",55.07,8,34.99,1,Low,Tea
100305,Nicole Arce - assistant manager,she,1984-05-21,172.3,00221,2287,"lizard,dog,dog",-5.6,11,87.92,1,Low,Cocoa
100306,Jon Hunter - physician,he,1965-06-13,172.52,04532,1504,"bird,dog,bird,bird,lizard,lizard",83.55,8,21.27,2,None,Coffee
100307,Nina Chase - assistant manager,she,1956-02-21,184.88,08161,2644,,2.36,10,64.93,3,Medium,Cider
100308,Anthony Rudman - teacher,they,1993-03-18,171.1,04532,-1000,"lizard,dog,dog,fish,lizard,dog",32.55,8,19.28,None,None,Coffee
100309,Lara Swanson - vice president,they,1978-11-02,169.97,07770,2195,"lizard,cat,cat",98.49,4,11.92,2,Low,Coffee
100310,Ivy Alexandra - trucker,she,1930-11-07,198.85,04532,1660,dog,116.49,5,29.09,5,None,Cider
100311,Billie Keys - sales associate,they,1985-08-24,139.42,08161,2351,,127.3,3,79.24,None,Low,Cider
100312,Alvin Garcia - physician,he,1953-06-25,195.83,00221,1912,,87.98,6,19.67,3,Medium,Cider
100313,Monique Sood - assistant manager,she,1971-11-19,166.14,00221,1674,"dog,hamster,cat",111.18,1,38.35,1,None,Cocoa
100314,Hope Laws - vice president,she,1967-06-05,204.91,04532,1641,"hamster,fish,dog,dog,cat,dog",141.71,11,19.19,2,None,Coffee
100315,Janice Magnuson - receptionist,she,1997-08-07,173.38,04532,1558,,127.38,7,3.04,2,High,Cocoa
100316,Billy Mccollum - assistant manager,he,1958-05-21,214.24,07770,2539,"fish,cat,dog",118.55,10,73.06,2,High,Cider
100317,Catherine Cox - vice president,she,1936-07-23,175.12,08161,2625,dog,52.84,5,17.77,2,Low,Cider
100318,Lionel Fox - assistant manager,he,1937-06-12,137.47,04532,1829,dog,138.6,8,32.67,3,None,Cider
100319,Steve Belanger - sales associate,he,1934-02-22,247.38,00221,2403,,57.38,7,30.68,3,Low,Cider
100320,Mandie Malloy - vice president,she,1945-01-19,160.43,03977,1465,"dog,hamster",191.61,7,14.94,3,None,Cocoa
100321,Robert Cooley - engineer,he,1962-03-24,171.22,00221,1410,cat,72.16,1,6.03,3,Low,Cocoa
100322,Michael Stroud - vice president,he,1940-10-23,162.42,08161,2451,"hamster,cat",84.34,8,53.57,1,Low,Cider
100323,Michael Featherstone - vice president,he,1938-07-14,203.24,00221,2359,"dog,hamster,fish,dog,cat",98.55,4,21.02,None,Medium,Tea
100324,Eric Keaney - teacher,he,1942-12-14,362.32,07770,3233,bird,114.38,6,20.94,2,Medium,Cocoa
100325,Cynthia Brizuela - software engineer,she,1991-03-24,172.68,03977,1654,"fish,fish,lizard,dog",102.76,10,40.32,1,Low,Tea
100326,Lisa Smith - assistant manager,she,1994-03-21,197.24,06861,2516,"bird,bird,cat,dog,dog,cat",125.92,12,8.86,1,None,Coffee
100327,Ronald Clark - software engineer,they,1986-02-17,145.58,00221,1971,"dog,dog",125.92,8,17.47,4,Low,Tea
100328,Christian Williams - teacher,he,1932-05-03,185.81,00221,2243,"bird,fish,dog",103.36,14,14.26,3,High,Tea
100329,Francis Katt - vice president,he,1967-03-03,175.83,00221,1496,cat,66.93,6,7.64,3,None,Cocoa
100330,Kathleen Aburto - physician,she,1951-01-25,208.78,08161,1861,,91.47,5,49.94,2,High,Cider
100331,Hector Robinson - scientist,he,1986-03-24,215.27,04532,1490,"cat,cat,cat,dog,lizard,dog",100.86,15,2.38,3,Low,Coffee
100332,Solange Kraft - scientist,they,1990-01-06,130.5,06861,2415,,51.6,1,14.35,3,Low,Tea
100333,Megan Flores - vice president,they,1937-06-11,196.81,06861,2530,,57.53,16,67.82,2,Low,Cider
100334,Debra Sharp - receptionist,she,1944-01-22,170.59,08161,1955,"cat,hamster,fish,cat,cat",91.91,7,12.58,2,None,Coffee
100335,Frederick Morales - software engineer,he,1964-08-24,144.77,03977,2260,bird,63.3,14,5.47,3,High,Tea
100336,Rosa Godfrey - assistant manager,she,1996-01-17,161.92,08161,1854,dog,56.07,1,3.2,3,None,Coffee
100337,Ryan Stoker - teacher,he,1996-11-07,197.85,00221,2110,"dog,bird,bird,dog,dog,hamster",94.87,8,23.38,2,High,Coffee
100338,Jackie Dasilva - engineer,he,1965-07-02,188.11,00445,1574,,11.89,17,44.27,1,Medium,Cider
100339,Kathleen Herring - teacher,she,1988-10-28,150.24,03977,1973,"dog,hamster,bird,bird,hamster,cat",5.35,10,25.67,1,High,Coffee
100340,Rhonda Johnston - receptionist,she,2004-02-13,133.13,00445,2156,bird,92.16,11,23.42,2,None,Tea
100341,Sylvia Baerga - physician,she,1953-05-10,167.46,00221,1793,lizard,116.98,15,5.95,4,None,Cocoa
100342,Li Avery - sales associate,she,1952-01-22,149.31,06861,2113,"dog,dog,fish,dog,fish,dog",161.42,8,12.3,3,Low,Coffee
100343,Victoria Johnson - trucker,she,1994-11-05,160.94,06393,2157,,61.54,9,51.57,3,Medium,Cider
100344,Linda Edwards - physician,she,1993-05-23,141.83,06861,2009,"dog,bird,cat,bird",99.31,3,,2,Low,Tea
100345,Wanda Hannah - sales associate,she,1989-02-27,146.01,08161,856,,93.05,8,105.42,1,None,Coffee
100346,Miguel Haman - vice president,he,1953-05-21,186.21,00221,1964,bird,145.02,4,22.19,3,Low,Cider
100347,Fatimah Love - receptionist,she,2004-07-24,139.09,08161,2985,dog,74.14,0,23.29,3,None,Tea
100348,Marion Eaton - vice president,he,1957-11-11,176.51,00221,2207,"dog,bird,cat,dog",38.06,7,29.32,None,Low,Tea
100349,Ramon Lerma - sales associate,he,1974-02-02,224.77,03977,1498,,59.2,7,33.4,2,Low,Cider
100350,Brian Board - trucker,he,1972-10-01,179.45,00221,2007,"cat,fish,dog",96.93,10,22.15,1,Low,Tea
100351,Heather Carrier - physician,she,1942-12-01,153.6,00221,2873,"bird,cat,bird",13.79,7,1.95,3,None,Coffee
100352,Lisa Ferraro - trucker,she,1934-12-27,144.07,08161,1540,"bird,dog,dog",125.16,12,61.53,2,High,Cider
100353,Refugio Holmes - trucker,he,1995-07-08,182.2,03977,2039,bird,32.76,7,8.97,2,None,Tea
100354,Jason Ferris - general manager,he,1994-07-28,205.45,00445,2208,dog,26.85,6,44.16,3,None,Cocoa
100355,Robin Torres - assistant manager,she,1935-07-04,167.03,06393,2105,fish,89.76,12,27.99,4,High,Cider
100356,Kirk Spikes - sales associate,he,1946-01-02,214.85,08161,2129,cat,127.03,12,32.71,1,Low,Cider
100357,Charles Vazquez - receptionist,he,1996-03-17,216.41,08161,2068,dog,71.62,10,16.5,1,Medium,Tea
100358,Sheila Owen - trucker,she,1993-04-12,145.31,08161,1952,bird,156.08,11,15.47,2,None,Tea
100359,Ronald Simmons - receptionist,he,1954-06-23,164.95,00221,1797,dog,85.26,11,41.22,5,None,Cider
100360,Patricia Eakins - sales associate,she,1929-07-10,171.03,00221,1605,"dog,cat,fish",74.79,4,48.45,None,High,Cider
100361,Alexander Filgo - software engineer,they,2002-04-28,361.48,00221,2388,dog,105.57,4,5.55,1,Medium,Coffee
100362,Christopher Glesener - assistant manager,they,1989-11-25,212.86,08161,1854,"dog,bird,fish,fish,dog,dog",128.58,11,44.2,3,None,Tea
100363,Monica Cherry - software engineer,she,1962-05-12,160.56,03977,2054,"dog,cat,dog,dog,dog,fish",67.76,13,5.18,4,Medium,Tea
100364,Helen Dias - vice president,she,1985-08-18,190.6,03977,1608,"cat,dog,cat,fish,bird,dog",74.51,6,20.59,2,High,Coffee
100365,Kenneth Schmitke - engineer,they,1984-09-17,374.77,06393,2037,"dog,fish,hamster,cat,dog,hamster",6.96,6,12.38,3,Low,Coffee
100366,Donna Anders - physician,she,1960-02-03,183.57,00221,1031,"cat,dog,hamster",71.86,3,10.78,2,Low,Coffee
100367,Jesus Purnell - assistant manager,he,1949-03-07,204.11,00221,2009,"bird,hamster,dog,dog,bird,dog",53.21,7,20.28,1,None,Tea
100368,Anna Tarone - receptionist,she,1949-09-10,170.65,03977,1905,"dog,dog,dog",43.22,9,55.2,1,None,Tea
100369,Rogelio Presley - scientist,he,1990-09-15,226.82,04532,1672,"cat,dog,dog,dog,dog,bird",104.9,7,0.68,6,Low,Coffee
100370,Clara Jensen - vice president,she,2003-07-21,168.22,00221,1976,,64.49,7,20.85,None,Medium,Tea
100371,Ricky Cohen - assistant manager,he,1933-02-14,158.26,00221,1686,"bird,fish,hamster,dog,dog,cat",43.72,5,30.9,3,Low,Cocoa
100372,Phyllis Martineau - physician,she,1977-10-11,189.43,03977,1639,"dog,dog,fish,dog,dog,hamster",44.78,7,38.45,1,Low,Tea
100373,Gwendolyn Perry - assistant manager,she,1976-06-11,139.41,07770,4284,bird,33.91,7,23.22,2,None,Cocoa
100374,Arlene Allen - vice president,she,1989-07-17,148.57,00221,2149,,0.62,6,0.77,3,None,Coffee
100375,Jennifer Seabrook - physician,she,1928-02-04,150.26,03977,1418,,43.31,1,11.72,2,Medium,Cider
100376,Dorothy Francis - physician,she,1997-04-14,178.81,06393,2087,"cat,dog,dog",48.42,7,41.48,4,None,Tea
100377,George Sosa - software engineer,they,1993-02-08,145.1,06393,2123,"fish,hamster,cat,dog,dog",78.24,3,43.74,1,Medium,Tea
100378,Lydia Perez - receptionist,she,1996-05-27,149.12,00221,1353,"lizard,dog",94.5,8,0.54,None,Medium,Coffee
100379,Consuelo Hein - assistant manager,she,1933-06-12,169.87,00445,1839,,83.81,2,14.82,1,Low,Cider
100380,Anna Brooks - receptionist,she,1970-06-03,164.14,07770,4131,"cat,cat",65.39,10,25.26,5,High,Tea
100381,Howard Curtis - vice president,he,1973-11-09,176.02,03977,2020,"cat,dog,dog,fish,dog,bird",87.25,5,51.91,3,None,Tea
100382,Lisa Kraus - physician,they,1994-06-23,194.24,00221,1855,,116.53,5,8.8,3,None,Tea
100383,Jeffery Ramsey - vice president,he,2001-03-12,211.73,00221,1056,,73.96,14,31.72,2,Medium,Coffee
100384,Anthony Perry - receptionist,he,1956-12-04,148.21,00221,1710,cat,51.39,11,,2,High,Cocoa
100385,Julie Nunes - trucker,she,1964-05-10,174.69,03977,1771,,104.87,8,1.22,1,High,Tea
100386,Brandon Moor - physician,he,1939-07-14,226.98,00849,3680,"fish,dog,dog,cat,bird,dog",91.34,13,7.88,1,Low,Coffee
100387,Monica Blaski - vice president,they,2004-01-09,379.03999999999996,08161,1606,"cat,bird,dog,fish,dog,cat",167.76,2,9.71,2,High,Coffee
100388,Tamera Marcus - teacher,she,1935-06-01,372.1,08161,2007,"dog,lizard,lizard,dog,fish,hamster",67.85,6,1.51,2,None,Coffee
100389,Katharyn Wright - assistant manager,she,1983-03-04,159.44,00221,1715,"lizard,cat",73.29,6,7.38,1,Low,Coffee
100390,Jenny Fishburn - physician,they,1991-09-02,199.99,00221,2030,cat,64.67,0,45.36,None,Low,Cider
100391,Salvador Osorio - trucker,he,2000-04-07,185.16,08161,2053,"hamster,dog,hamster,fish",125.31,9,10.11,1,None,Coffee
100392,Mildred Dalton - scientist,she,1952-11-02,209.07,06861,2352,"fish,dog,cat,bird,dog",52.19,4,27.8,2,High,Tea
100393,Joseph Cook - physician,he,1943-06-02,206.58,03977,1837,"dog,dog,dog",14.31,11,8.95,1,None,Tea
100394,Christina Collins - physician,she,1932-04-19,169.95,07770,3265,"cat,lizard,cat",106.95,4,10.95,None,None,Coffee
100395,Theodora Swee - scientist,they,1997-07-02,139.6,00849,4544,"cat,fish,bird",98.02,9,58.23,5,High,Tea
100396,John Warney - software engineer,he,1944-05-16,153.85,03977,1850,,66.43,6,29.34,1,None,Cider
100397,Sandra Mcdaniel - assistant manager,she,1987-08-07,164.89,00221,2696,,99.51,8,22.26,5,Low,Cocoa
100398,Daniel Davis - software engineer,they,1987-01-18,136.59,00221,2110,fish,30.49,9,29.76,3,Medium,Cocoa
100399,James Lacy - teacher,they,1987-12-16,176.95,00221,1866,,92.34,11,2.97,None,High,Tea
100400,Paul Farrior - sales associate,he,1952-04-27,189.53,02585,5725,"cat,dog,bird,bird,dog,dog",90.37,12,5.63,None,Medium,Coffee
100401,Daniel Herman - physician,he,1958-12-21,189.38,07770,4320,,42.47,12,45.55,2,High,Cider
100402,Danielle Salazar - physician,she,1932-12-28,135.02,06393,2060,"fish,hamster,dog,dog",93.21,8,47.65,4,Low,Cocoa
100403,Dale Marley - receptionist,she,2003-02-17,183.24,03977,2356,"cat,cat,hamster,bird",49.34,10,9.99,None,High,Coffee
100404,Jonah Marenco - trucker,he,1936-03-12,168.07,00221,2564,,63.61,6,35.46,4,Low,Cider
100405,Sylvia Humphreys - software engineer,she,1997-10-09,154.17,00221,1904,,137.83,10,11.27,3,None,Tea
100406,Brandon King - vice president,he,1959-04-18,182.74,02585,4384,,77.3,14,22.45,None,High,Cocoa
100407,Alex Smith - physician,they,1987-05-06,167.27,08161,2244,"dog,hamster",46.79,4,13.77,4,Medium,Tea
100408,Rhonda Post - physician,she,1987-12-17,174.11,03977,1866,"fish,bird,bird,hamster,dog,hamster",114.22,8,21.34,2,Low,Coffee
100409,Keith Frates - software engineer,he,1971-11-27,154.34,06393,2168,fish,44.92,1,4.8,1,None,Tea
100410,David Horne - scientist,he,1938-03-27,209.5,08161,2322,"cat,bird,cat,dog,fish,dog",81.7,10,14.95,None,Medium,Coffee
100411,Beatriz Johns - vice president,she,1947-05-15,200.89,08161,2058,"dog,cat",88.43,6,35.57,2,None,Cider
100412,Lloyd Klemke - physician,he,1926-04-09,181.54,03977,2041,"dog,lizard,cat,fish,fish,hamster",28.72,9,5.86,5,High,Coffee
100413,Norman Jones - physician,he,1935-03-18,191.1,06861,2014,"hamster,fish,dog,fish,dog",107.68,12,40.45,4,None,Cocoa
100414,Susie Wells - assistant manager,she,1937-10-26,156.79,00221,2248,"dog,bird,bird",140.36,4,30.02,3,Low,Cocoa
100415,Rosalinda Galindo - trucker,she,1976-05-21,185.36,03977,2269,"hamster,fish,bird,cat,dog",104.53,7,31.75,3,Low,Tea
100416,Roxy Hearn - assistant manager,she,1972-05-20,152.92,08161,2264,"cat,bird,cat",128.56,12,23.43,3,High,Tea
100417,Frank Mucciolo - trucker,he,1949-11-25,214.74,02585,617,"dog,bird,bird,bird,bird,cat",175.08,6,14.79,1,None,Coffee
100418,Sherry Bleiweiss - physician,they,1987-01-11,178.98,03977,1618,"cat,bird",82.95,1,3.28,1,None,Coffee
100419,Kelly Herbert - vice president,she,1964-07-14,138.7,07770,3394,fish,37.44,9,3.14,3,None,Coffee
100420,Linda Collins - engineer,she,1949-12-19,191.77,00221,2478,"fish,fish,bird,dog,hamster,dog",66.02,10,1.98,3,Medium,Coffee
100421,Isaac Puterbaugh - software engineer,he,1977-07-24,204.94,00221,2191,,89.58,11,15.69,3,None,Cocoa
100422,Nancy Hart - teacher,they,1950-06-25,155.5,06393,2164,"dog,fish,hamster,dog",52.36,3,26.73,1,None,Tea
100423,Janet Grisson - teacher,she,1933-09-11,209.46,08161,1785,"dog,dog,dog,dog",153.6,11,9.6,3,None,Tea
100424,Charlotte Kerr - teacher,she,1936-11-10,167.33,03977,2003,lizard,122.4,0,54.63,None,High,Cider
100425,John Askew - sales associate,he,1951-08-09,179.62,00849,4032,,125.3,11,37.25,2,High,Cider
100426,Michael Garcia - assistant manager,he,1972-06-02,191.66,06393,2057,,68.85,3,1.88,2,None,Coffee
100427,Jean Kimball - assistant manager,she,1953-11-27,149.41,00221,3131,,115.66,13,18.55,1,Low,Cocoa
100428,Kathryn Stahlman - teacher,she,1927-04-13,189.18,00221,1862,"bird,lizard,cat,bird,dog,dog",32.29,8,54.02,3,None,Cocoa
100429,Stella Coggins - assistant manager,she,1959-04-04,150.08,07770,5436,,61.54,3,26.04,2,Low,Cocoa
100430,Ethel Hook - vice president,she,1997-12-01,146.54,03977,2105,"cat,bird,dog,bird,fish",76.61,5,31.69,5,High,Coffee
100431,Matthew Sutherland - vice president,he,1945-06-06,172.75,08161,1840,,93.8,2,29.81,2,High,Cider
100432,Craig Osullivan - teacher,he,1945-10-07,192.9,06861,2192,"hamster,dog",10.97,8,8.19,1,Low,Tea
100433,Melvin Diaz - sales associate,he,1939-05-12,188.09,08161,2627,"dog,bird,cat",116.0,2,64.48,2,Medium,Cider
100434,Deborah Camp - trucker,she,1938-08-03,159.62,00221,2007,"fish,hamster",141.61,4,11.73,3,High,Cocoa
100435,Timothy Gomez - assistant manager,he,1957-11-12,172.36,03977,1456,,77.53,11,38.0,3,Low,Cider
100436,Amy Shearer - vice president,she,1953-03-22,153.62,07770,1414,"lizard,bird,dog",93.42,10,74.1,5,Low,Cider
100437,Kathrine Hurlock - vice president,she,1988-11-14,193.9,03977,1572,,74.22,12,53.44,2,High,Cider
100438,Terra Gray - teacher,she,1948-12-13,181.16,00221,2312,hamster,38.48,5,2.08,4,Medium,Tea
100439,Milton Drake - sales associate,he,1936-03-11,213.34,00221,1509,dog,16.36,10,34.11,2,Low,Cider
100440,Roxana Lewis - sales associate,she,1978-11-13,190.01,00221,1983,,92.15,6,17.54,2,High,Cocoa
100441,Alicia Stanley - sales associate,she,1993-12-15,144.62,06861,2195,"bird,dog",42.75,12,51.99,1,Medium,Cocoa
100442,Maria Morgan - teacher,she,2002-10-10,185.69,08161,2204,"hamster,dog,cat,cat,cat,bird",67.19,6,28.52,4,High,Coffee
100443,Marcia Kellner - scientist,she,1951-12-23,135.88,08161,2250,,58.48,7,32.13,4,None,Cider
100444,Edward Chavez - vice president,he,1942-11-21,213.24,06393,2172,"fish,dog",47.4,14,2.32,3,None,Coffee
100445,Matthew Bartholf - physician,he,1952-11-13,362.15,00221,2141,"cat,bird",68.35,6,48.13,5,High,Cider
